isWon;countHitChances;countComingOut;turnCount;1;2;3;4;5;6
1;73;28;964;26;0;13;59;0;0
0;62;32;1030;25;0;11;62;0;0
1;109;45;1559;14;0;12;73;0;0
0;59;36;1057;26;0;8;65;0;0
1;70;26;861;23;0;15;61;0;0
0;107;52;1547;9;0;15;75;0;0
0;36;13;601;32;0;9;58;0;0
1;73;27;942;33;0;12;53;0;0
0;39;21;637;24;0;13;61;0;0
1;35;13;560;29;2;8;58;0;0
0;38;19;722;26;1;12;59;0;0
1;51;19;689;21;0;12;65;0;0
0;70;31;952;29;1;11;58;0;0
1;41;14;568;8;1;16;73;0;0
0;71;35;1189;18;1;13;67;0;0
0;34;18;481;18;1;9;70;0;0
1;53;17;634;13;0;14;70;0;0
0;65;28;1095;7;0;16;75;0;0
1;55;18;640;17;0;15;66;0;0
0;70;29;934;15;0;15;68;0;0
1;52;20;658;11;0;17;70;0;0
0;33;17;584;28;0;11;60;0;0
0;30;11;438;16;0;11;71;0;0
1;41;20;759;41;0;7;50;0;0
0;88;40;971;5;0;16;77;0;0
0;77;33;1123;12;0;13;73;0;0
1;35;13;553;14;0;14;70;0;0
0;109;45;1290;7;0;17;74;0;0
0;46;22;793;25;0;8;65;0;0
1;43;16;618;17;1;12;68;0;0
0;43;20;699;23;1;11;64;0;0
1;51;15;757;19;0;15;64;0;0
0;22;10;491;28;0;9;61;0;0
1;66;25;1005;7;0;15;76;0;0
0;38;15;568;2;1;14;81;0;0
1;49;16;570;5;0;19;75;0;0
0;46;17;647;12;2;17;68;0;0
0;50;26;980;18;0;11;69;0;0
1;38;14;439;6;0;19;74;0;0
0;112;52;1556;19;0;14;65;0;0
1;37;17;553;15;0;10;74;0;0
0;58;22;683;6;0;15;77;0;0
1;49;18;755;19;0;14;66;0;0
0;43;27;915;38;0;7;53;0;0
1;44;15;638;18;0;19;60;0;0
0;51;20;654;11;0;12;75;0;0
0;46;18;554;28;0;10;60;0;0
0;39;19;734;29;0;11;58;0;0
0;51;18;800;18;0;10;70;0;0
1;73;31;1173;27;1;11;60;0;0
0;36;18;710;31;0;9;58;0;0
0;57;24;892;25;0;12;61;0;0
1;57;25;804;7;0;13;79;0;0
0;30;15;463;20;0;10;69;0;0
1;44;15;562;13;2;13;70;0;0
0;61;25;815;11;0;16;71;0;0
1;36;14;533;23;0;15;60;0;0
0;64;30;937;35;0;11;53;0;0
1;48;16;678;17;0;14;68;0;0
0;28;18;645;21;0;7;71;0;0
1;88;37;1321;28;1;13;57;0;0
0;91;42;1161;21;0;14;63;0;0
1;111;33;1325;14;0;15;70;0;0
0;51;25;664;11;0;14;73;0;0
1;64;22;935;26;0;13;59;0;0
0;30;21;707;29;0;7;62;0;0
0;81;31;949;15;0;13;70;0;0
1;43;17;704;13;1;11;73;0;0
0;41;20;558;38;0;10;49;0;0
1;42;14;583;15;0;16;67;0;0
0;70;32;991;15;0;15;68;0;0
1;86;27;1131;27;0;14;56;0;0
0;61;32;895;13;0;13;72;0;0
1;68;27;851;14;0;14;70;0;0
0;112;50;1325;17;0;16;65;0;0
0;91;39;1206;22;0;14;62;0;0
1;46;17;618;6;1;12;79;0;0
0;93;41;1316;15;0;15;68;0;0
1;75;33;1239;31;0;14;53;0;0
0;66;30;925;6;0;15;76;0;0
1;52;18;688;23;0;10;65;0;0
0;61;27;727;1;0;18;80;0;0
1;51;19;812;19;1;14;65;0;0
0;50;27;825;27;0;10;62;0;0
1;57;24;787;18;0;14;67;0;0
0;61;34;1099;18;0;14;66;0;0
1;75;27;889;16;1;15;66;0;0
0;61;27;957;20;0;10;67;0;0
0;67;26;975;18;0;15;66;0;0
0;49;16;802;21;0;16;61;0;0
1;33;16;611;14;0;12;72;0;0
0;39;24;870;36;0;10;52;0;0
0;53;24;610;17;0;16;65;0;0
1;63;33;1240;34;0;9;55;0;0
0;75;39;1125;26;1;11;62;0;0
0;49;18;664;37;0;10;52;0;0
0;78;21;883;19;1;15;64;0;0
1;39;19;737;40;0;9;50;0;0
0;48;22;897;21;0;12;66;0;0
1;41;19;850;34;0;9;55;0;0
0;34;15;570;14;0;15;69;0;0
0;46;16;586;4;0;19;75;0;0
1;65;22;860;27;1;13;57;0;0
0;41;16;682;20;0;11;67;0;0
0;34;13;390;18;0;14;67;0;0
1;75;30;1041;9;0;17;72;0;0
0;42;20;615;14;0;8;76;0;0
1;32;15;679;20;0;10;69;0;0
0;59;26;827;11;0;17;69;0;0
1;43;12;554;11;0;17;70;0;0
0;116;46;1540;16;1;17;64;0;0
1;52;18;789;27;1;12;58;0;0
0;77;36;1093;16;0;13;69;0;0
1;39;12;598;26;0;12;60;0;0
0;68;33;1088;12;0;13;73;0;0
1;60;30;1040;23;0;12;63;0;0
0;62;26;877;23;0;12;64;0;0
1;46;16;686;19;0;10;69;0;0
0;85;39;1324;12;0;15;72;0;0
1;74;28;898;18;0;13;66;0;0
0;84;43;1235;16;0;14;69;0;0
1;76;27;1013;18;0;14;67;0;0
0;70;37;1038;24;0;10;63;0;0
1;62;22;927;19;0;12;66;0;0
0;57;21;699;20;0;11;67;0;0
1;67;23;1084;32;0;12;55;0;0
0;29;14;494;1;1;13;82;0;0
0;53;24;768;18;0;12;67;0;0
1;42;13;620;28;1;13;56;0;0
0;80;30;992;13;0;14;70;0;0
0;54;23;793;31;0;10;58;0;0
1;115;41;1287;27;0;16;55;0;0
0;68;29;1167;40;0;10;49;0;0
0;62;27;947;23;0;10;65;0;0
1;47;21;679;9;1;13;75;0;0
0;90;38;1246;10;0;16;72;0;0
0;54;24;783;26;0;11;61;0;0
1;42;18;762;15;0;11;73;0;0
0;49;21;1038;23;1;10;64;0;0
0;69;34;1118;32;0;11;56;0;0
1;47;22;795;29;0;12;58;0;0
0;55;29;823;16;0;14;69;0;0
1;40;15;694;40;0;8;50;0;0
0;51;20;645;7;0;18;73;0;0
1;47;16;552;12;0;15;71;0;0
0;79;33;917;9;0;14;75;0;0
1;56;23;714;20;0;14;63;0;0
0;42;22;671;10;0;14;75;0;0
1;55;21;859;19;0;14;65;0;0
0;136;64;2021;16;0;14;69;0;0
1;62;26;978;16;0;14;67;0;0
0;47;24;870;17;0;12;69;0;0
0;58;23;963;34;0;11;54;0;0
0;45;16;621;22;0;11;65;0;0
0;74;29;861;12;0;14;71;0;0
1;45;18;537;18;1;16;64;0;0
0;34;18;574;12;1;12;74;0;0
1;58;29;1047;23;0;11;65;0;0
0;67;30;1011;15;0;13;70;0;0
0;144;65;1827;16;0;14;68;0;0
1;44;21;665;18;1;11;69;0;0
0;79;37;1192;13;0;14;71;0;0
1;41;16;694;32;1;12;54;0;0
0;52;23;808;15;0;14;69;0;0
0;61;28;854;18;0;14;66;0;0
0;59;30;907;19;0;13;66;0;0
1;71;29;1177;14;0;14;70;0;0
0;57;26;878;25;0;12;61;0;0
1;60;20;706;16;0;13;69;0;0
0;80;38;1530;23;0;11;63;0;0
0;64;32;978;20;0;13;65;0;0
0;35;16;623;10;0;13;76;0;0
0;59;22;761;29;0;11;58;0;0
1;46;20;876;30;0;10;58;0;0
0;22;16;588;19;0;8;72;0;0
1;34;18;762;32;0;6;59;0;0
0;79;37;1219;19;0;11;68;0;0
0;36;12;563;29;0;9;60;0;0
0;33;11;454;15;1;13;68;0;0
0;49;23;727;16;0;12;70;0;0
1;78;32;1082;12;0;13;73;0;0
0;102;39;1338;10;0;15;73;0;0
1;57;21;713;5;0;18;76;0;0
0;68;29;877;9;1;15;74;0;0
0;52;18;761;33;0;14;51;0;0
1;73;29;892;17;0;16;65;0;0
0;59;23;843;17;0;15;66;0;0
1;71;26;838;21;0;13;64;0;0
0;62;28;1002;23;0;12;63;0;0
0;72;20;756;21;1;17;59;0;0
1;34;12;594;12;0;14;72;0;0
0;48;21;827;22;0;13;64;0;0
0;74;30;1065;20;0;12;66;0;0
1;38;14;772;32;0;12;54;0;0
0;85;34;1229;14;1;17;66;0;0
1;57;24;988;25;0;10;63;0;0
0;92;40;1294;16;0;15;68;0;0
1;84;34;1299;35;0;10;53;0;0
0;74;37;1127;15;0;13;70;0;0
1;76;30;856;10;0;13;75;0;0
0;70;30;1192;18;0;10;70;0;0
0;81;44;1237;24;0;11;63;0;0
1;45;16;503;7;0;17;75;0;0
0;74;35;1108;18;0;12;68;0;0
1;61;22;1032;26;0;12;61;0;0
0;102;43;1674;22;0;12;64;0;0
1;31;9;406;19;0;20;59;0;0
0;99;44;1170;15;0;15;67;0;0
1;51;16;741;15;0;15;68;0;0
0;58;24;711;2;0;15;81;0;0
0;38;15;530;15;0;20;64;0;0
1;35;18;610;15;0;14;70;0;0
0;42;16;678;26;1;12;59;0;0
1;52;19;619;8;0;16;73;0;0
0;61;30;992;11;0;17;70;0;0
1;37;13;641;16;0;13;69;0;0
0;73;37;1063;13;0;14;72;0;0
1;46;15;526;6;0;18;74;0;0
0;94;38;970;11;0;15;73;0;0
1;34;15;699;32;0;8;58;0;0
0;48;20;920;13;0;13;72;0;0
1;39;14;707;11;1;12;75;0;0
0;104;37;1258;14;0;16;68;0;0
0;75;33;870;17;0;18;64;0;0
1;45;15;650;21;0;14;64;0;0
0;70;37;1190;19;0;13;66;0;0
1;33;9;495;25;0;7;65;0;0
0;108;53;1790;12;0;13;73;0;0
1;37;13;574;12;1;14;71;0;0
0;71;31;1060;23;1;13;62;0;0
1;38;13;448;21;0;16;60;0;0
0;64;29;1034;18;1;9;70;0;0
1;49;19;596;1;1;14;82;0;0
0;87;30;943;3;0;17;78;0;0
1;83;35;1181;29;0;11;58;0;0
0;83;42;1337;16;0;14;68;0;0
1;48;13;720;23;0;12;63;0;0
0;68;24;783;6;1;15;77;0;0
1;47;16;589;14;1;15;68;0;0
0;67;30;804;9;0;17;73;0;0
0;27;10;367;11;1;13;73;0;0
0;42;18;461;27;0;11;61;0;0
1;85;28;1036;13;0;15;70;0;0
0;57;30;939;24;0;10;64;0;0
1;57;28;930;27;0;7;64;0;0
0;40;17;684;37;0;11;51;0;0
1;76;27;980;13;0;16;69;0;0
0;44;23;771;8;0;10;80;0;0
1;59;28;1140;31;0;9;57;0;0
0;100;42;1308;10;0;16;72;0;0
0;58;22;834;16;0;14;68;0;0
0;42;18;771;28;0;12;59;0;0
1;69;29;1001;28;0;10;59;0;0
0;62;32;1070;25;0;10;63;0;0
0;37;19;642;27;0;11;60;0;0
1;60;21;626;12;1;17;67;0;0
0;38;16;519;36;0;16;47;0;0
1;45;9;456;15;0;17;67;0;0
0;80;37;1338;9;0;15;74;0;0
1;78;29;1122;18;1;13;66;0;0
0;64;27;906;30;0;14;54;0;0
0;43;18;638;32;0;12;54;0;0
0;49;20;709;22;0;14;63;0;0
0;63;28;908;17;0;16;66;0;0
0;62;20;718;17;1;20;61;0;0
1;61;30;899;21;0;15;62;0;0
0;69;29;951;8;0;15;76;0;0
1;68;25;1046;28;1;12;58;0;0
0;36;18;673;21;0;11;66;0;0
1;62;25;908;8;0;18;73;0;0
0;108;42;1382;12;0;14;72;0;0
0;33;18;541;26;0;14;58;0;0
0;66;28;1220;30;0;9;59;0;0
1;46;18;811;21;0;12;66;0;0
0;62;34;783;10;1;14;73;0;0
0;61;31;793;26;0;12;61;0;0
1;42;14;595;6;0;12;79;0;0
0;56;26;872;27;0;15;57;0;0
1;52;16;612;7;0;15;75;0;0
0;118;39;1216;17;0;14;67;0;0
1;38;16;823;43;0;9;47;0;0
0;89;38;1171;13;0;14;70;0;0
1;34;15;655;30;0;12;56;0;0
0;93;39;1355;26;0;13;59;0;0
0;41;20;527;24;0;13;61;0;0
1;56;22;807;20;0;14;64;0;0
0;74;38;1272;24;1;9;64;0;0
1;49;20;742;19;0;14;65;0;0
0;48;24;758;34;0;9;56;0;0
0;107;44;1438;17;0;14;68;0;0
1;45;16;622;6;0;13;79;0;0
0;70;37;1113;22;0;11;65;0;0
0;36;17;581;24;0;10;64;0;0
1;46;18;549;4;1;18;75;0;0
0;78;41;1293;13;0;15;71;0;0
1;42;13;564;16;2;19;61;0;0
0;41;18;558;3;0;19;76;0;0
1;27;12;511;20;0;12;66;0;0
0;71;32;1104;15;0;14;70;0;0
0;49;17;678;33;0;8;57;0;0
0;59;23;859;13;0;16;70;0;0
1;65;25;903;16;0;13;68;0;0
0;86;42;1421;21;0;13;64;0;0
1;91;35;1270;24;0;12;62;0;0
0;35;18;694;31;0;10;57;0;0
1;45;15;572;12;0;13;73;0;0
0;35;19;636;28;0;10;60;0;0
1;46;18;754;18;0;15;65;0;0
0;29;19;498;9;0;8;81;0;0
0;27;12;729;33;0;7;58;0;0
0;69;27;963;19;0;13;66;0;0
0;73;26;946;22;0;14;61;0;0
0;38;14;602;19;0;13;66;0;0
1;44;17;602;20;1;14;63;0;0
0;63;32;829;28;0;10;60;0;0
0;60;26;1094;37;0;10;51;0;0
0;44;18;746;22;0;14;63;0;0
1;60;23;889;20;0;11;68;0;0
0;82;39;1224;6;1;14;78;0;0
1;49;21;764;20;0;14;63;0;0
0;68;25;942;3;0;18;77;0;0
1;59;29;1090;32;0;9;57;0;0
0;71;29;907;4;0;14;79;0;0
0;57;23;799;28;0;14;55;0;0
1;51;25;1027;33;0;8;58;0;0
0;68;35;1091;16;0;15;67;0;0
1;47;16;597;9;0;12;76;0;0
0;43;18;631;16;1;13;68;0;0
0;54;16;772;28;0;12;58;0;0
1;52;20;876;30;0;12;56;0;0
0;28;10;523;34;0;8;56;0;0
0;43;15;557;10;2;10;76;0;0
1;66;26;947;24;0;14;61;0;0
0;43;21;756;33;0;10;56;0;0
1;95;37;1351;35;0;11;52;0;0
0;42;23;724;21;1;13;64;0;0
0;55;29;1017;29;0;10;58;0;0
1;49;15;797;15;2;13;68;0;0
0;69;35;1160;22;0;14;63;0;0
0;48;24;793;19;0;13;66;0;0
1;126;52;1542;9;0;16;73;0;0
0;58;29;948;18;0;14;65;0;0
1;60;22;731;19;0;15;64;0;0
0;58;26;776;20;1;13;63;0;0
0;66;36;1032;19;0;12;68;0;0
1;56;20;677;21;0;11;66;0;0
0;57;24;769;28;0;14;56;0;0
0;58;23;687;7;0;17;75;0;0
0;77;18;794;26;0;19;54;0;0
1;54;20;712;16;0;14;68;0;0
0;52;26;773;23;0;12;64;0;0
0;52;17;628;25;0;14;59;0;0
1;29;12;489;18;0;11;70;0;0
0;39;20;657;22;0;11;65;0;0
1;42;14;735;16;1;13;67;0;0
0;85;38;1049;10;0;18;70;0;0
1;49;17;704;9;1;11;78;0;0
0;90;35;1349;6;1;14;77;0;0
0;61;25;803;11;0;14;73;0;0
1;90;30;863;13;0;22;64;0;0
0;40;19;823;27;0;11;61;0;0
1;37;15;596;22;1;12;63;0;0
0;60;32;927;14;0;14;70;0;0
1;34;8;396;10;4;13;71;0;0
0;59;27;942;13;0;11;75;0;0
1;37;22;641;19;0;12;68;0;0
0;73;31;931;14;1;16;68;0;0
1;56;21;785;19;0;15;65;0;0
0;57;28;858;28;0;14;56;0;0
1;46;15;594;5;0;17;76;0;0
0;102;46;1363;19;1;14;64;0;0
1;64;23;864;15;0;16;67;0;0
0;64;31;939;14;1;13;70;0;0
1;51;16;628;15;0;13;71;0;0
0;55;28;796;10;0;14;73;0;0
0;57;21;874;26;0;13;59;0;0
1;75;26;1031;29;1;10;58;0;0
0;72;28;1006;28;0;14;56;0;0
1;35;10;621;19;1;10;69;0;0
0;63;31;877;23;0;15;61;0;0
0;47;17;726;33;0;10;56;0;0
0;48;20;559;9;2;19;68;0;0
1;55;20;713;26;0;14;58;0;0
0;72;30;797;16;0;16;66;0;0
1;100;40;1386;28;0;14;55;0;0
0;32;17;627;24;0;11;63;0;0
1;70;26;1043;23;0;12;63;0;0
0;44;16;613;15;0;15;68;0;0
1;45;23;950;33;0;10;56;0;0
0;38;17;635;36;0;10;52;0;0
1;40;13;585;22;1;12;63;0;0
0;32;14;709;27;1;9;61;0;0
0;61;25;882;11;0;11;77;0;0
1;41;16;678;27;0;13;59;0;0
0;109;46;1401;11;0;17;69;0;0
1;74;25;1089;23;0;13;63;0;0
0;62;22;984;23;0;14;61;0;0
1;53;29;1054;26;0;9;64;0;0
0;90;38;1133;11;1;12;74;0;0
0;60;26;806;27;0;12;59;0;0
1;62;27;1140;21;0;10;67;0;0
0;69;31;827;19;0;12;67;0;0
1;20;10;447;19;0;11;69;0;0
0;29;15;591;18;0;8;72;0;0
1;66;23;791;7;1;14;76;0;0
0;63;30;919;28;0;11;59;0;0
0;25;12;530;41;0;7;51;0;0
1;64;21;821;21;0;17;61;0;0
0;126;52;1556;11;0;15;72;0;0
1;46;17;709;18;1;11;68;0;0
0;64;36;1101;27;0;9;61;0;0
0;70;30;1143;23;1;9;65;0;0
1;58;21;912;30;0;10;58;0;0
0;55;24;729;20;0;13;65;0;0
0;46;18;598;23;0;11;64;0;0
1;52;29;1064;23;0;10;65;0;0
0;37;17;513;14;0;11;73;0;0
1;30;12;523;22;0;10;66;0;0
0;25;16;494;15;0;10;74;0;0
1;74;24;982;27;1;13;58;0;0
0;45;17;641;11;1;13;74;0;0
1;50;17;776;39;0;11;47;0;0
0;46;23;727;21;0;14;64;0;0
1;72;25;1072;25;0;12;61;0;0
0;29;15;565;43;0;9;47;0;0
0;90;45;1559;27;0;12;60;0;0
1;40;14;597;27;0;11;60;0;0
0;26;12;477;12;1;12;72;0;0
1;26;11;358;11;0;12;75;0;0
0;101;41;1309;13;0;15;70;0;0
0;66;28;934;17;0;9;72;0;0
0;38;18;572;20;0;12;66;0;0
1;41;17;760;26;0;11;61;0;0
0;59;25;723;3;1;14;81;0;0
0;43;14;512;26;1;15;56;0;0
0;83;33;1307;32;1;10;55;0;0
0;62;22;819;13;0;12;74;0;0
0;47;15;631;17;0;15;65;0;0
0;72;32;1089;39;0;11;48;0;0
0;77;34;1252;13;0;14;70;0;0
1;58;28;901;17;0;13;68;0;0
0;73;34;1049;21;0;14;63;0;0
1;52;22;970;23;0;11;64;0;0
0;44;21;757;18;2;9;69;0;0
1;66;28;975;21;0;13;64;0;0
0;61;29;1132;16;0;11;70;0;0
1;33;10;416;18;0;18;63;0;0
0;28;15;526;28;1;8;61;0;0
1;55;24;842;19;0;11;68;0;0
0;85;37;1308;17;0;14;66;0;0
1;36;13;533;22;0;15;61;0;0
0;49;24;943;23;0;12;63;0;0
1;65;25;838;18;0;15;66;0;0
0;48;26;650;10;0;15;73;0;0
0;67;31;1022;20;0;13;65;0;0
1;37;12;535;25;1;10;62;0;0
0;92;37;1208;24;0;14;60;0;0
0;69;26;790;19;0;16;64;0;0
1;47;21;910;31;1;12;55;0;0
0;49;23;780;9;0;14;75;0;0
1;63;27;916;21;0;14;63;0;0
0;53;25;602;8;0;18;73;0;0
1;34;16;555;6;0;11;81;0;0
0;68;33;1172;18;0;10;70;0;0
1;64;23;812;27;0;14;57;0;0
0;80;34;1301;10;0;14;74;0;0
1;70;28;862;11;0;12;74;0;0
0;108;49;1392;10;0;14;74;0;0
0;44;21;784;29;0;11;59;0;0
1;38;23;849;29;0;9;60;0;0
0;75;28;1116;10;1;13;73;0;0
1;37;18;821;30;0;10;58;0;0
0;20;15;416;1;0;11;87;0;0
1;50;23;969;35;0;11;53;0;0
0;76;31;1024;10;0;16;73;0;0
1;57;19;727;23;0;13;62;0;0
0;79;33;1102;9;0;14;75;0;0
1;82;31;991;15;0;16;67;0;0
0;43;23;668;15;0;10;74;0;0
1;25;12;511;19;0;8;71;0;0
0;76;34;1252;23;0;15;60;0;0
0;29;12;580;30;0;8;61;0;0
0;57;23;702;22;1;14;61;0;0
0;28;15;575;25;0;11;61;0;0
0;41;19;675;18;0;9;71;0;0
1;48;22;811;17;0;11;70;0;0
0;75;34;1030;13;1;12;72;0;0
1;39;13;596;13;0;17;69;0;0
0;20;15;372;16;1;11;71;0;0
0;75;30;1171;31;0;13;54;0;0
0;88;34;1520;35;0;10;53;0;0
0;50;19;661;16;0;12;70;0;0
1;51;16;655;25;1;12;60;0;0
